"n","DGP","Power (1-β)","True Δ","Mean(Δhat)","SD(Δhat)","Mean(SEhat)","Cover(95%)"
50,"null",0.05,0,0,0.19,0.18,0.94
50,"cauchy",0.37,0.09,0.06,0.15,0.15,0.95
50,"realistic",0.45,0.12,0.09,0.15,0.15,0.95
50,"large",0.5,0.28,0.26,0.14,0.15,0.95
50,"worst",0.17,0.12,0.12,0.17,0.17,0.94
50,"unif",0.37,0.17,0.15,0.15,0.16,0.95
500,"null",0.05,0,-0.01,0.1,0.1,0.95
500,"cauchy",0.37,0.09,0.07,0.08,0.08,0.95
500,"realistic",0.45,0.12,0.12,0.08,0.08,0.95
500,"large",0.5,0.28,0.28,0.08,0.08,0.95
500,"worst",0.17,0.12,0.12,0.09,0.09,0.95
500,"unif",0.37,0.17,0.16,0.08,0.08,0.95
