"","popsizes","cvs","cs","ns","sigma_Ys","theta0","J_coeffs","eps_coeffs","nsims","dgps","beta_c","beta_1","delta0","Mean_deltahat","Mean_thetahat","SD_deltahat","SD_thetahat","SD_EST_deltahat","SD_Est_thetahat","Cover_deltahat","Cover_thetahat","J","epx","eps","RMSE_delta","RMSE_theta"
"1",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"null",0.949776,0.950422,-0.000646000000000035,-0.0034410223208178,3.86390162698413,0.185473061876427,3.01056060786849,0.18324796414977,0,0.938459168507732,-0.0042,15.168997776141,NA,0.542883523318981,0.185494120746698,4.22471159111349
"2",500000,1.96,1.4142135623731,1000,1,0.9,0.0001,2,10000,"null",0.949884,0.949974,-0.0000900000000000345,0.00444021405084125,1.40895801102849,0.0423454119183796,0.445512837397494,0.0426145873708261,0,0.9507,0,16.6096404744368,NA,0.2,0.0425870490863559,0.676402206735047
"3",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"cauchy",0.547682,0.63384,-0.086158,-0.0605271654722102,1.8260899020424,0.145104983764058,1.66630350948355,0.147332217361654,0,0.958806896551724,-0.0024,15.168997776141,NA,0.542883523318981,0.147351267357151,1.90636037841278
"4",500000,1.96,1.4142135623731,1000,1,0.9,0.0001,2,10000,"cauchy",0.547226,0.633916,-0.08669,-0.0816965751515258,1.06391572447985,0.0350249092587954,0.252596067568841,0.0349412059726576,0,0.948,0,16.6096404744368,NA,0.2,0.035379069522872,0.301119806859322
"5",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"realistic",0.431558,0.554906,-0.123348,-0.0938638314019812,1.30129962912088,0.149030983659546,1.0736145357758,0.150922342299441,0,0.958271279895927,-0.0007,15.168997776141,NA,0.542883523318981,0.151919552028198,1.14616297434599
"6",500000,1.96,1.4142135623731,1000,1,0.9,0.0001,2,10000,"realistic",0.432916,0.554964,-0.122048,-0.1198228965575,0.977941652357098,0.0340238795926362,0.212226646881777,0.0344597918396092,0,0.9555,0,16.6096404744368,NA,0.2,0.0340965609389573,0.226086379109484
"7",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"large",0.217182,0.500326,-0.283144,-0.258544420053298,1.00987313786184,0.145541035382763,0.551953865104962,0.145637274913268,0,0.949,0,15.168997776141,NA,0.542883523318981,0.147605326170301,0.562783418046333
"8",500000,1.96,1.4142135623731,1000,1,0.9,0.0001,2,10000,"large",0.217134,0.500066,-0.282932,-0.275532304586857,0.914129885022162,0.0358667165301017,0.148688250618999,0.0362001382685232,0,0.9428,0,16.6096404744368,NA,0.2,0.0366220814107821,0.149358125064818
"9",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"worst",0.71853,0.833704,-0.115174,-0.115349318987383,1.94768723581974,0.171354180193642,1.48577746845094,0.171717503185903,0,0.9461,0,15.168997776141,NA,0.542883523318981,0.171354269881385,1.81801628976643
"10",500000,1.96,1.4142135623731,1000,1,0.9,0.0001,2,10000,"worst",0.718072,0.83448,-0.116408,-0.122688545970146,1.12207043957447,0.0406928343457416,0.228512390297484,0.0404255260300192,0,0.9459,0,16.6096404744368,NA,0.2,0.0411746526976621,0.318642735131792
"11",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"unif",0.461798,0.627648,-0.16585,-0.140698981930688,1.22168959141349,0.15689405200443,0.843101559342206,0.157604186290873,0,0.951085415624687,-0.0003,15.168997776141,NA,0.542883523318981,0.158897190863437,0.902388182873112
"12",500000,1.96,1.4142135623731,1000,1,0.9,0.0001,2,10000,"unif",0.461332,0.628028,-0.166696,-0.162547291054302,0.96404614380894,0.0364576791558547,0.1844692168103,0.0365529252520242,0,0.9495,0,16.6096404744368,NA,0.2,0.0366929714706693,0.195271094858919
