"","popsizes","noise_dgp","nu","cvs","cs","ns","sigma_Ys","theta0","J_coeffs","eps_coeffs","nsims","dgps","beta_c","beta_1","delta0","Mean_deltahat","Mean_thetahat","SD_deltahat","SD_thetahat","SD_EST_deltahat","SD_Est_thetahat","Cover_deltahat","Cover_thetahat","J","epx","eps","RMSE_delta","RMSE_theta"
"1",5e+05,"t",50,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"null",0.944328,0.944606,-0.000278,0.00195462344305134,1.38010709494816,0.0397644003486445,0.413918671625896,0.0423795282612841,0,0.964,0,16.6096404744368,NA,0.2,0.0398270277892506,0.633901797867866
"2",5e+05,"lognormal",50,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"null",1,0.999998,1.99999999994649e-06,-1.49728888364353,1,0.0132172536454704,0,NA,0,NA,-1,16.6096404744368,NA,0.2,1.4973492198001,0.1
"3",5e+05,"t",50,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"cauchy",0.54728,0.630782,-0.083502,-0.0829986695514435,1.04996973223206,0.0336994282575817,0.228986048329697,0.0348985101559381,0,0.95,0,16.6096404744368,NA,0.2,0.0337031868883099,0.273725283661204
"4",5e+05,"lognormal",50,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"cauchy",0.600644,0.698278,-0.097634,-0.0554777167057301,1.10567357008649,0.0344447220783808,0.328246661912913,0.0357770937004772,0,0.782,0,16.6096404744368,NA,0.2,0.0544388748987673,0.387359637144982
"5",5e+05,"t",50,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"realistic",0.432306,0.554096,-0.12179,-0.117907384938405,0.97085770487835,0.0358400792442191,0.209746654086295,0.0344743605415132,0,0.948,0,16.6096404744368,NA,0.2,0.036049770872343,0.221392125517199
"6",5e+05,"lognormal",50,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"realistic",0.455902,0.574292,-0.11839,-0.0886404635659824,0.923592655432637,0.0355887934729946,0.211456005768674,0.0353476113500794,0,0.856,0,16.6096404744368,NA,0.2,0.0463853116719334,0.212768079762931
"7",5e+05,"t",50,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"large",0.219782,0.499978,-0.280196,-0.274125046760293,0.910117814985466,0.0367598237310041,0.15792122317131,0.0362897609026497,0,0.93,0,16.6096404744368,NA,0.2,0.0372577658210098,0.158245009109301
"8",5e+05,"lognormal",50,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"large",0.00438,0.509854,-0.505474,-1.12511535985944,0.946925574674609,0.0239125763468522,0.0779297860593318,0.0250662912970222,0,0,0,16.6096404744368,NA,0.2,0.620102593250507,0.0909673629044811
"9",5e+05,"t",50,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"worst",0.716314,0.830548,-0.114234,-0.124933057024223,1.07647759640177,0.0391438585993959,0.219384603984333,0.0405157627590177,0,0.954,0,16.6096404744368,NA,0.2,0.0405796930404491,0.281556293655655
"10",5e+05,"lognormal",50,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"worst",0.969634,0.999714,-0.03008,0.999928378368336,5.5732,0.0315700335948527,4.50948252300089,0.0324396245034466,0,-0.318,-0.318,16.6096404744368,NA,0.2,1.03049207979982,6.49416898958215
"11",5e+05,"t",50,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"unif",0.46032,0.625602,-0.165282,-0.164845603744468,0.963726423215946,0.036903393465636,0.183815965013402,0.0365318414589836,0,0.962,0,16.6096404744368,NA,0.2,0.0369059736488741,0.19454913520678
"12",5e+05,"lognormal",50,1.96,1.4142135623731,1000,1,0.9,1e-04,2,500,"unif",0.462412,0.653112,-0.1907,-0.184075399932531,0.918437767047957,0.03829389098337,0.166224589856971,0.0379927579537378,0,0.936,0,16.6096404744368,NA,0.2,0.0388626737718872,0.16724402986903
