"","c_sq","pval_alt_rcts","pval_alt_rcts_uncluster","pval_alt_non_rcts","pval_ML_non_rcts","pval_ML_non_rcts.1"
"1",1,NA,NA,NA,NA,NA
"2",1.1,0.001,0.0004,0,0.0003,0.0003
"3",1.2,0.0105,0.0066,0,0.0008,0.0008
"4",1.3,0.0681,0.0562,0,0.0016,0.0016
"5",1.4,0.2214,0.2048,0,0.0025,0.0025
"6",1.5,0.4415,0.4276,0,0.003,0.003
"7",1.6,0.6637,0.6553,0,0.0029,0.0029
"8",1.7,0.8521,0.8484,0,0.0022,0.0022
"9",1.8,0.9989,0.9989,0,0.0013,0.0013
"10",1.9,0.8913,0.8887,0,0.0006,0.0006
"11",2,0.8117,0.8071,0.0001,0.0002,0.0002
